cvg,mae,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/a,config/b,config/c,config/tau,config/E,config/T,config/dist_type,config/gene_process,config/mode,config/r,config/n_clients,config/n_sim,config/base_seed
0.72,0.09389669501804337,1746065989,,True,1,2025-05-01_02-19-49,2.8377013206481934,2.8377013206481934,2348971,qMxak3,172.17.0.3,2.8377013206481934,1,"29_E=log,T=1000,a=0.8000,c=2,tau=0.3000",0.8,0,2,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
0.0,0.9200452881424985,1746065993,,True,1,2025-05-01_02-19-53,2.0095131397247314,2.0095131397247314,2351214,qMxak3,172.17.0.3,2.0095131397247314,1,"33_E=1,T=1000,a=0.9900,c=2,tau=0.3000",0.99,0,2,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
0.0,0.7570075064762036,1746065989,,True,1,2025-05-01_02-19-49,1.0573127269744873,1.0573127269744873,2350079,qMxak3,172.17.0.3,1.0573127269744873,1,"30_E=1,T=1000,a=0.9000,c=2,tau=0.3000",0.9,0,2,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
0.38,0.11658936192705072,1746065994,,True,1,2025-05-01_02-19-54,3.2477786540985107,3.2477786540985107,2351240,qMxak3,172.17.0.3,3.2477786540985107,1,"32_E=log,T=1000,a=0.9000,c=2,tau=0.3000",0.9,0,2,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
0.94,0.07878387824615402,1746065999,,True,1,2025-05-01_02-19-59,3.4490551948547363,3.4490551948547363,2357522,qMxak3,172.17.0.3,3.4490551948547363,1,"34_E=5,T=1000,a=0.9900,c=2,tau=0.3000",0.99,0,2,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.05780398674588626,1746066005,,True,1,2025-05-01_02-20-05,3.9025630950927734,3.9025630950927734,2360219,qMxak3,172.17.0.3,3.9025630950927734,1,"38_E=log,T=1000,a=0.5100,c=3,tau=0.3000",0.51,0,3,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.1444727807239151,1746066004,,True,1,2025-05-01_02-20-04,1.4866588115692139,1.4866588115692139,2365860,qMxak3,172.17.0.3,1.4866588115692139,1,"39_E=1,T=1000,a=0.6000,c=3,tau=0.3000",0.6,0,3,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.05231377632247729,1746066004,,True,1,2025-05-01_02-20-04,3.426131248474121,3.426131248474121,2360180,qMxak3,172.17.0.3,3.426131248474121,1,"37_E=5,T=1000,a=0.5100,c=3,tau=0.3000",0.51,0,3,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.10592534842144911,1746065998,,True,1,2025-05-01_02-19-58,1.6939170360565186,1.6939170360565186,2358499,qMxak3,172.17.0.3,1.6939170360565186,1,"36_E=1,T=1000,a=0.5100,c=3,tau=0.3000",0.51,0,3,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
0.25,0.13505126089929753,1746066000,,True,1,2025-05-01_02-20-00,4.17746376991272,4.17746376991272,2357521,qMxak3,172.17.0.3,4.17746376991272,1,"35_E=log,T=1000,a=0.9900,c=2,tau=0.3000",0.99,0,2,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.05408409353009086,1746066013,,True,1,2025-05-01_02-20-13,2.152735710144043,2.152735710144043,2376618,qMxak3,172.17.0.3,2.152735710144043,1,"43_E=5,T=1000,a=0.7000,c=3,tau=0.3000",0.7,0,3,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.25515438787236333,1746066008,,True,1,2025-05-01_02-20-08,2.3806838989257812,2.3806838989257812,2368276,qMxak3,172.17.0.3,2.3806838989257812,1,"42_E=1,T=1000,a=0.7000,c=3,tau=0.3000",0.7,0,3,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
0.65,0.4662625965772226,1746066014,,True,1,2025-05-01_02-20-14,1.0996034145355225,1.0996034145355225,2377683,qMxak3,172.17.0.3,1.0996034145355225,1,"45_E=1,T=1000,a=0.8000,c=3,tau=0.3000",0.8,0,3,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.07264204578039324,1746066013,,True,1,2025-05-01_02-20-13,2.4126412868499756,2.4126412868499756,2376622,qMxak3,172.17.0.3,2.4126412868499756,1,"44_E=log,T=1000,a=0.7000,c=3,tau=0.3000",0.7,0,3,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.06111826845601982,1746066010,,True,1,2025-05-01_02-20-10,3.847902774810791,3.847902774810791,2368250,qMxak3,172.17.0.3,3.847902774810791,1,"41_E=log,T=1000,a=0.6000,c=3,tau=0.3000",0.6,0,3,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.05212942176192631,1746066009,,True,1,2025-05-01_02-20-09,2.899522542953491,2.899522542953491,2368247,qMxak3,172.17.0.3,2.899522542953491,1,"40_E=5,T=1000,a=0.6000,c=3,tau=0.3000",0.6,0,3,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
0.98,0.07221920426270217,1746066023,,True,1,2025-05-01_02-20-23,3.465546131134033,3.465546131134033,2383412,qMxak3,172.17.0.3,3.465546131134033,1,"49_E=5,T=1000,a=0.9000,c=3,tau=0.3000",0.9,0,3,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
0.55,0.12357251980934349,1746066023,,True,1,2025-05-01_02-20-23,3.245952844619751,3.245952844619751,2383956,qMxak3,172.17.0.3,3.245952844619751,1,"50_E=log,T=1000,a=0.9000,c=3,tau=0.3000",0.9,0,3,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.06140361111933361,1746066017,,True,1,2025-05-01_02-20-17,2.1253700256347656,2.1253700256347656,2378583,qMxak3,172.17.0.3,2.1253700256347656,1,"46_E=5,T=1000,a=0.8000,c=3,tau=0.3000",0.8,0,3,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
0.0,0.9707625478331577,1746066022,,True,1,2025-05-01_02-20-22,1.8005900382995605,1.8005900382995605,2383994,qMxak3,172.17.0.3,1.8005900382995605,1,"51_E=1,T=1000,a=0.9900,c=3,tau=0.3000",0.99,0,3,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
0.0,0.7329549680381902,1746066018,,True,1,2025-05-01_02-20-18,1.0513246059417725,1.0513246059417725,2381261,qMxak3,172.17.0.3,1.0513246059417725,1,"48_E=1,T=1000,a=0.9000,c=3,tau=0.3000",0.9,0,3,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
0.98,0.09454527434664567,1746066017,,True,1,2025-05-01_02-20-17,2.5272157192230225,2.5272157192230225,2378642,qMxak3,172.17.0.3,2.5272157192230225,1,"47_E=log,T=1000,a=0.8000,c=3,tau=0.3000",0.8,0,3,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.063182430459113,1746066032,,True,1,2025-05-01_02-20-32,2.000980854034424,2.000980854034424,2392846,qMxak3,172.17.0.3,2.000980854034424,1,"55_E=5,T=1000,a=0.5100,c=4,tau=0.3000",0.51,0,4,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.12987675381913422,1746066032,,True,1,2025-05-01_02-20-32,0.49506449699401855,0.49506449699401855,2397003,qMxak3,172.17.0.3,0.49506449699401855,1,"57_E=1,T=1000,a=0.6000,c=4,tau=0.3000",0.6,0,4,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
0.25,0.1508595281882412,1746066029,,True,1,2025-05-01_02-20-29,4.077439308166504,4.077439308166504,2389152,qMxak3,172.17.0.3,4.077439308166504,1,"53_E=log,T=1000,a=0.9900,c=3,tau=0.3000",0.99,0,3,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
